variable,mirror,region,both_missing,only_this_missing,only_mirror_missing
LOrL-Or,LOrR-OrR,orbital,0,0,0
LOrR-OrR,LOrL-Or,orbital,0,0,0
LPP-PP-MPP,LPPR-PPR-MPPR,palatal_pterygoid,1,0,0
LPP-S-MPP,LPPR-S-MPPR,palatal_pterygoid,1,0,0
LPP-SP,LPPR-SP,palatal_pterygoid,1,0,0
LPPR-PPR-MPPR,LPP-PP-MPP,palatal_pterygoid,1,0,0
LPPR-S-MPPR,LPP-S-MPP,palatal_pterygoid,1,0,0
LPPR-SP,LPP-SP,palatal_pterygoid,1,0,0
MO-CP,MOR-CP,nasomaxillary,0,0,0
MO-SP,MOR-SP,nasomaxillary,0,0,0
MO-TM-PNS,MOR-TMR-PNS,nasomaxillary,8,0,0
MO-ZMs,MOR-ZMsR,nasomaxillary,0,0,0
MOR-CP,MO-CP,nasomaxillary,0,0,0
MOR-SP,MO-SP,nasomaxillary,0,0,0
MOR-TMR-PNS,MO-TM-PNS,nasomaxillary,8,0,0
MOR-ZMsR,MO-ZMs,nasomaxillary,0,0,0
MPP-CP,MPPR-CP,palatal_pterygoid,1,0,0
MPP-SP,MPPR-SP,palatal_pterygoid,1,0,0
MPPR-CP,MPP-CP,palatal_pterygoid,1,0,0
MPPR-SP,MPP-SP,palatal_pterygoid,1,0,0
Mas-CP,MasR-CP,temporomandibular,0,0,0
Mas-Po-TP,MasR-PoR-TPR,temporomandibular,0,0,0
Mas-SP,MasR-SP,temporomandibular,0,0,0
Mas-TP,MasR-TPR,temporomandibular,0,0,0
MasR-CP,Mas-CP,temporomandibular,0,0,0
MasR-PoR-TPR,Mas-Po-TP,temporomandibular,0,0,0
MasR-SP,Mas-SP,temporomandibular,0,0,0
MasR-TPR,Mas-TP,temporomandibular,0,0,0
PP-CP,PPR-CP,palatal_pterygoid,0,0,0
PP-SP,PPR-SP,palatal_pterygoid,0,1,0
PPR-CP,PP-CP,palatal_pterygoid,0,0,0
PPR-SP,PP-SP,palatal_pterygoid,0,0,1
Po-Mas,PoR-MasR,temporomandibular,0,0,0
PoR-MasR,Po-Mas,temporomandibular,0,0,0
TM-CP,TMR-CP,temporomandibular,8,0,0
TM-MO,TMR-MOR,temporomandibular,8,0,0
TM-SP,TMR-SP,temporomandibular,8,0,0
TMR-CP,TM-CP,temporomandibular,8,0,0
TMR-MOR,TM-MO,temporomandibular,8,0,0
TMR-SP,TM-SP,temporomandibular,8,0,0
TP-Po,TPR-PoR,temporomandibular,0,0,0
TP-SP,TPR-SP,temporomandibular,0,0,0
TPR-PoR,TP-Po,temporomandibular,0,0,0
TPR-SP,TP-SP,temporomandibular,0,0,0
ZF-LOrL-SMF,ZFR-LOrR-SMFR,zygomatic,0,0,0
ZF-Or-SMF,ZFR-OrR-SMFR,zygomatic,0,0,0
ZF-SMF,ZFR-SMFR,zygomatic,0,0,0
ZF-ZMs-SMF,ZFR-ZMsR-SMFR,zygomatic,0,0,0
ZF-ZMs-ZMi,ZFR-ZMsR-ZMiR,zygomatic,0,1,0
ZF-ZO-ZX,ZFR-ZOR-ZXR,zygomatic,0,1,0
ZFR-LOrR-SMFR,ZF-LOrL-SMF,zygomatic,0,0,0
ZFR-OrR-SMFR,ZF-Or-SMF,zygomatic,0,0,0
ZFR-SMFR,ZF-SMF,zygomatic,0,0,0
ZFR-ZMsR-SMFR,ZF-ZMs-SMF,zygomatic,0,0,0
ZFR-ZMsR-ZMiR,ZF-ZMs-ZMi,zygomatic,0,0,1
ZFR-ZOR-ZXR,ZF-ZO-ZX,zygomatic,0,0,1
ZMi-CP,ZMiR-CP,zygomatic,0,1,0
ZMi-SP,ZMiR-SP,zygomatic,0,1,0
ZMi-ZMs,ZMiR-ZMsR,zygomatic,0,1,0
ZMiR-CP,ZMi-CP,zygomatic,0,0,1
ZMiR-SP,ZMi-SP,zygomatic,0,0,1
ZMiR-ZMsR,ZMi-ZMs,zygomatic,0,0,1
ZMs-CP,ZMsR-CP,zygomatic,0,0,0
ZMs-MO,ZMsR-MOR,zygomatic,0,0,0
ZMs-MO-TM,ZMsR-MOR-TMR,zygomatic,8,0,0
ZMs-SP,ZMsR-SP,zygomatic,0,0,0
ZMs-ZTi,ZMsR-ZTiR,zygomatic,0,0,0
ZMsR-CP,ZMs-CP,zygomatic,0,0,0
ZMsR-MOR,ZMs-MO,zygomatic,0,0,0
ZMsR-MOR-TMR,ZMs-MO-TM,zygomatic,8,0,0
ZMsR-SP,ZMs-SP,zygomatic,0,0,0
ZMsR-ZTiR,ZMs-ZTi,zygomatic,0,0,0
ZO-CP,ZOR-CP,zygomatic,0,0,0
ZO-LOrL,ZOR-LOrR,zygomatic,0,0,0
ZO-SP,ZOR-SP,zygomatic,0,0,0
ZOR-CP,ZO-CP,zygomatic,0,0,0
ZOR-LOrR,ZO-LOrL,zygomatic,0,0,0
ZOR-SP,ZO-SP,zygomatic,0,0,0
ZTi-ZF-ZMs,ZTiR-ZFR-ZMsR,zygomatic,0,0,0
ZTi-ZX-ZMs,ZTiR-ZXR-ZMsR,zygomatic,0,1,0
ZTiR-ZFR-ZMsR,ZTi-ZF-ZMs,zygomatic,0,0,0
ZTiR-ZXR-ZMsR,ZTi-ZX-ZMs,zygomatic,0,0,1
ZTs-CP,ZTsR-CP,zygomatic,0,0,0
ZTs-Po,ZTsR-PoR,zygomatic,0,0,0
ZTs-Po-Mas,ZTsR-PoR-MasR,zygomatic,0,0,0
ZTs-Po-TP,ZTsR-PoR-TPR,zygomatic,0,0,0
ZTs-SP,ZTsR-SP,zygomatic,0,0,0
ZTsR-CP,ZTs-CP,zygomatic,0,0,0
ZTsR-PoR,ZTs-Po,zygomatic,0,0,0
ZTsR-PoR-MasR,ZTs-Po-Mas,zygomatic,0,0,0
ZTsR-PoR-TPR,ZTs-Po-TP,zygomatic,0,0,0
ZTsR-SP,ZTs-SP,zygomatic,0,0,0
ZX-ZF,ZXR-ZFR,zygomatic,0,1,0
ZXR-ZFR,ZX-ZF,zygomatic,0,0,1
