variable,type,region,pct_missing,flag_high_missing,flag_angle,do_not_use_without_review
ALL-ALR,distance,nasomaxillary,33.33,False,False,False
ANS-CP,distance,nasomaxillary,45.83,True,False,False
ANS-PNS,distance,nasomaxillary,45.83,True,False,False
ANS-SMP,distance,nasomaxillary,45.83,True,False,False
ANS-SP,distance,nasomaxillary,45.83,True,False,False
BA-CP,distance,cranial_base,0.0,False,False,False
BA-SP,distance,cranial_base,0.0,False,False,False
ES-CP,distance,cranial_base,0.0,False,False,False
ES-S-SO,angle,cranial_base,0.0,False,True,False
ES-SO,distance,cranial_base,0.0,False,False,False
ES-SP,distance,cranial_base,0.0,False,False,False
JL-JR,distance,nasomaxillary,12.5,False,False,False
LOrL-Or,distance,orbital,0.0,False,False,False
LOrR-OrR,distance,orbital,0.0,False,False,False
LPP-LPPR,distance,palatal_pterygoid,4.17,False,False,False
LPP-PP-MPP,angle,palatal_pterygoid,4.17,False,True,False
LPP-S-LPPR,angle,palatal_pterygoid,4.17,False,True,False
LPP-S-MPP,angle,palatal_pterygoid,4.17,False,True,False
LPP-SP,distance,palatal_pterygoid,4.17,False,False,False
LPPR-CP,distance,palatal_pterygoid,4.17,False,False,False
LPPR-PPR-MPPR,angle,palatal_pterygoid,4.17,False,True,False
LPPR-S-MPPR,angle,palatal_pterygoid,4.17,False,True,False
LPPR-SP,distance,palatal_pterygoid,4.17,False,False,False
LW-ES-LWR,angle,cranial_base,0.0,False,True,False
LW-S-LWR,angle,cranial_base,0.0,False,True,False
MO-CP,distance,nasomaxillary,0.0,False,False,False
MO-MOR,distance,nasomaxillary,0.0,False,False,False
MO-SP,distance,nasomaxillary,0.0,False,False,False
MO-TM-PNS,angle,nasomaxillary,33.33,False,True,False
MO-ZMs,distance,nasomaxillary,0.0,False,False,False
MOR-CP,distance,nasomaxillary,0.0,False,False,False
MOR-SP,distance,nasomaxillary,0.0,False,False,False
MOR-TMR-PNS,angle,nasomaxillary,33.33,False,True,False
MOR-ZMsR,distance,nasomaxillary,0.0,False,False,False
MPP-CP,distance,palatal_pterygoid,4.17,False,False,False
MPP-MPPR,distance,palatal_pterygoid,4.17,False,False,False
MPP-S-MPPR,angle,palatal_pterygoid,4.17,False,True,False
MPP-SP,distance,palatal_pterygoid,4.17,False,False,False
MPPR-CP,distance,palatal_pterygoid,4.17,False,False,False
MPPR-SP,distance,palatal_pterygoid,4.17,False,False,False
Mas-CP,distance,temporomandibular,0.0,False,False,False
Mas-Po-TP,angle,temporomandibular,0.0,False,True,False
Mas-SP,distance,temporomandibular,0.0,False,False,False
Mas-TP,distance,temporomandibular,0.0,False,False,False
MasR-CP,distance,temporomandibular,0.0,False,False,False
MasR-PoR-TPR,angle,temporomandibular,0.0,False,True,False
MasR-SP,distance,temporomandibular,0.0,False,False,False
MasR-TPR,distance,temporomandibular,0.0,False,False,False
N-ANS,distance,nasomaxillary,45.83,True,False,False
N-BA,distance,cranial_base,0.0,False,False,False
N-ES,distance,cranial_base,0.0,False,False,False
N-ES-SO,angle,cranial_base,0.0,False,True,False
N-Ro,distance,cranial_base,0.0,False,False,False
N-Ro-ANS,angle,nasomaxillary,45.83,True,True,True
N-S-BA,angle,cranial_base,0.0,False,True,False
N-S-SO,angle,cranial_base,0.0,False,True,False
N-SNM,distance,cranial_base,0.0,False,False,False
N-SO,distance,cranial_base,0.0,False,False,False
N-SO-BA,angle,cranial_base,0.0,False,True,False
PP-CP,distance,palatal_pterygoid,0.0,False,False,False
PP-SP,distance,palatal_pterygoid,4.17,False,False,False
PPR-CP,distance,palatal_pterygoid,0.0,False,False,False
PPR-SP,distance,palatal_pterygoid,0.0,False,False,False
Po-Mas,distance,temporomandibular,0.0,False,False,False
PoR-MasR,distance,temporomandibular,0.0,False,False,False
Ro-ANS,distance,nasomaxillary,45.83,True,False,False
S-BA,distance,cranial_base,0.0,False,False,False
S-CP,distance,cranial_base,0.0,False,False,False
S-ES,distance,cranial_base,0.0,False,False,False
S-LPP,distance,palatal_pterygoid,4.17,False,False,False
S-MPP,distance,palatal_pterygoid,4.17,False,False,False
S-N,distance,cranial_base,0.0,False,False,False
S-N-ANS,angle,nasomaxillary,45.83,True,True,True
S-PNS,distance,nasomaxillary,0.0,False,False,False
S-SO,distance,cranial_base,0.0,False,False,False
S-SO-BA,angle,cranial_base,0.0,False,True,False
SMF-SMFR,distance,orbital,0.0,False,False,False
SMP-PNS,distance,nasomaxillary,8.33,False,False,False
SNA,angle,nasomaxillary,45.83,True,True,True
SNM-SNMR,distance,cranial_base,0.0,False,False,False
SO-BA,distance,cranial_base,0.0,False,False,False
SO-CP,distance,cranial_base,0.0,False,False,False
SO-SP,distance,cranial_base,0.0,False,False,False
TM-CP,distance,temporomandibular,33.33,False,False,False
TM-MO,distance,temporomandibular,33.33,False,False,False
TM-SP,distance,temporomandibular,33.33,False,False,False
TM-TMR,distance,temporomandibular,33.33,False,False,False
TMR-A,distance,temporomandibular,45.83,True,False,False
TMR-CP,distance,temporomandibular,33.33,False,False,False
TMR-MOR,distance,temporomandibular,33.33,False,False,False
