variable,type,region,side,mirror,n_missing,pct_missing
ANS-CP,distance,nasomaxillary,midline,,11,45.83
ANS-PNS,distance,nasomaxillary,midline,,11,45.83
ANS-SMP,distance,nasomaxillary,midline,,11,45.83
ANS-SP,distance,nasomaxillary,midline,,11,45.83
N-ANS,distance,nasomaxillary,midline,,11,45.83
N-Ro-ANS,angle,nasomaxillary,midline,,11,45.83
Ro-ANS,distance,nasomaxillary,midline,,11,45.83
S-N-ANS,angle,nasomaxillary,midline,,11,45.83
SNA,angle,nasomaxillary,midline,,11,45.83
TMR-A,distance,temporomandibular,R,,11,45.83
ALL-ALR,distance,nasomaxillary,bilateral,,8,33.33
MO-TM-PNS,angle,nasomaxillary,L,MOR-TMR-PNS,8,33.33
MOR-TMR-PNS,angle,nasomaxillary,R,MO-TM-PNS,8,33.33
TM-CP,distance,temporomandibular,L,TMR-CP,8,33.33
TM-MO,distance,temporomandibular,L,TMR-MOR,8,33.33
TM-SP,distance,temporomandibular,L,TMR-SP,8,33.33
TM-TMR,distance,temporomandibular,bilateral,,8,33.33
TMR-CP,distance,temporomandibular,R,TM-CP,8,33.33
TMR-MOR,distance,temporomandibular,R,TM-MO,8,33.33
TMR-SP,distance,temporomandibular,R,TM-SP,8,33.33
ZMs-MO-TM,angle,zygomatic,L,ZMsR-MOR-TMR,8,33.33
ZMsR-MOR-TMR,angle,zygomatic,R,ZMs-MO-TM,8,33.33
JL-JR,distance,nasomaxillary,bilateral,,3,12.5
SMP-PNS,distance,nasomaxillary,midline,,2,8.33
LPP-LPPR,distance,palatal_pterygoid,bilateral,,1,4.17
LPP-PP-MPP,angle,palatal_pterygoid,L,LPPR-PPR-MPPR,1,4.17
LPP-S-LPPR,angle,palatal_pterygoid,bilateral,,1,4.17
LPP-S-MPP,angle,palatal_pterygoid,L,LPPR-S-MPPR,1,4.17
LPP-SP,distance,palatal_pterygoid,L,LPPR-SP,1,4.17
LPPR-CP,distance,palatal_pterygoid,R,,1,4.17
LPPR-PPR-MPPR,angle,palatal_pterygoid,R,LPP-PP-MPP,1,4.17
LPPR-S-MPPR,angle,palatal_pterygoid,R,LPP-S-MPP,1,4.17
LPPR-SP,distance,palatal_pterygoid,R,LPP-SP,1,4.17
MPP-CP,distance,palatal_pterygoid,L,MPPR-CP,1,4.17
MPP-MPPR,distance,palatal_pterygoid,bilateral,,1,4.17
MPP-S-MPPR,angle,palatal_pterygoid,bilateral,,1,4.17
MPP-SP,distance,palatal_pterygoid,L,MPPR-SP,1,4.17
MPPR-CP,distance,palatal_pterygoid,R,MPP-CP,1,4.17
MPPR-SP,distance,palatal_pterygoid,R,MPP-SP,1,4.17
PP-SP,distance,palatal_pterygoid,L,PPR-SP,1,4.17
S-LPP,distance,palatal_pterygoid,L,,1,4.17
S-MPP,distance,palatal_pterygoid,L,,1,4.17
ZF-ZMs-ZMi,angle,zygomatic,L,ZFR-ZMsR-ZMiR,1,4.17
ZF-ZO-ZX,angle,zygomatic,L,ZFR-ZOR-ZXR,1,4.17
ZMi-CP,distance,zygomatic,L,ZMiR-CP,1,4.17
ZMi-SP,distance,zygomatic,L,ZMiR-SP,1,4.17
ZMi-ZMiR,distance,zygomatic,bilateral,,1,4.17
ZMi-ZMs,distance,zygomatic,L,ZMiR-ZMsR,1,4.17
ZTi-ZMi-ZMs,angle,zygomatic,L,,1,4.17
ZTi-ZX-ZMs,angle,zygomatic,L,ZTiR-ZXR-ZMsR,1,4.17
ZX-ZF,distance,zygomatic,L,ZXR-ZFR,1,4.17
BA-CP,distance,cranial_base,midline,,0,0.0
BA-SP,distance,cranial_base,midline,,0,0.0
ES-CP,distance,cranial_base,midline,,0,0.0
ES-S-SO,angle,cranial_base,midline,,0,0.0
ES-SO,distance,cranial_base,midline,,0,0.0
ES-SP,distance,cranial_base,midline,,0,0.0
LOrL-Or,distance,orbital,L,LOrR-OrR,0,0.0
LOrR-OrR,distance,orbital,R,LOrL-Or,0,0.0
LW-ES-LWR,angle,cranial_base,bilateral,,0,0.0
LW-S-LWR,angle,cranial_base,bilateral,,0,0.0
MO-CP,distance,nasomaxillary,L,MOR-CP,0,0.0
MO-MOR,distance,nasomaxillary,bilateral,,0,0.0
MO-SP,distance,nasomaxillary,L,MOR-SP,0,0.0
MO-ZMs,distance,nasomaxillary,L,MOR-ZMsR,0,0.0
MOR-CP,distance,nasomaxillary,R,MO-CP,0,0.0
MOR-SP,distance,nasomaxillary,R,MO-SP,0,0.0
MOR-ZMsR,distance,nasomaxillary,R,MO-ZMs,0,0.0
Mas-CP,distance,temporomandibular,L,MasR-CP,0,0.0
Mas-Po-TP,angle,temporomandibular,L,MasR-PoR-TPR,0,0.0
Mas-SP,distance,temporomandibular,L,MasR-SP,0,0.0
Mas-TP,distance,temporomandibular,L,MasR-TPR,0,0.0
MasR-CP,distance,temporomandibular,R,Mas-CP,0,0.0
MasR-PoR-TPR,angle,temporomandibular,R,Mas-Po-TP,0,0.0
MasR-SP,distance,temporomandibular,R,Mas-SP,0,0.0
MasR-TPR,distance,temporomandibular,R,Mas-TP,0,0.0
N-BA,distance,cranial_base,midline,,0,0.0
N-ES,distance,cranial_base,midline,,0,0.0
N-ES-SO,angle,cranial_base,midline,,0,0.0
N-Ro,distance,cranial_base,midline,,0,0.0
N-S-BA,angle,cranial_base,midline,,0,0.0
N-S-SO,angle,cranial_base,midline,,0,0.0
N-SNM,distance,cranial_base,L,,0,0.0
N-SO,distance,cranial_base,midline,,0,0.0
N-SO-BA,angle,cranial_base,midline,,0,0.0
PP-CP,distance,palatal_pterygoid,L,PPR-CP,0,0.0
PPR-CP,distance,palatal_pterygoid,R,PP-CP,0,0.0
PPR-SP,distance,palatal_pterygoid,R,PP-SP,0,0.0
Po-Mas,distance,temporomandibular,L,PoR-MasR,0,0.0
PoR-MasR,distance,temporomandibular,R,Po-Mas,0,0.0
S-BA,distance,cranial_base,midline,,0,0.0
S-CP,distance,cranial_base,midline,,0,0.0
S-ES,distance,cranial_base,midline,,0,0.0
S-N,distance,cranial_base,midline,,0,0.0
S-PNS,distance,nasomaxillary,midline,,0,0.0
S-SO,distance,cranial_base,midline,,0,0.0
S-SO-BA,angle,cranial_base,midline,,0,0.0
SMF-SMFR,distance,orbital,bilateral,,0,0.0
SNM-SNMR,distance,cranial_base,bilateral,,0,0.0
SO-BA,distance,cranial_base,midline,,0,0.0
SO-CP,distance,cranial_base,midline,,0,0.0
SO-SP,distance,cranial_base,midline,,0,0.0
