target,type,region,n_missing,n_fit_rows,bilateral_rule_applies,mirror,predictors
ALL-ALR,distance,nasomaxillary,8,16,False,,MPP-SP;LPPR-CP;MO-MOR;MasR-CP;MPP-MPPR;age_years;sex_M
ANS-CP,distance,nasomaxillary,11,13,False,,MPP-SP;S-MPP;ZXR-ZFR;S-N;ZMs-CP;age_years;sex_M
ANS-PNS,distance,nasomaxillary,11,13,False,,S-BA;ZMsR-ZTiR;ZFR-SMFR;LPPR-SP;LPP-LPPR;age_years;sex_M
ANS-SMP,distance,nasomaxillary,11,13,False,,LPPR-SP;SO-BA;TP-SP;ZMiR-ZMsR;TP-TPR;age_years;sex_M
ANS-SP,distance,nasomaxillary,11,13,False,,MO-CP;ES-SO;MPP-CP;S-MPP;ZMs-CP;age_years;sex_M
JL-JR,distance,nasomaxillary,3,21,False,,N-BA;N-SO;S-N;ZMs-ZMsR;ZTsR-SP;age_years;sex_M
LPP-LPPR,distance,palatal_pterygoid,1,23,False,,ANS-PNS;TMR-A;SO-CP;MasR-TPR;ZOR-SP;age_years;sex_M
LPP-PP-MPP,angle,palatal_pterygoid,1,23,False,LPPR-PPR-MPPR,TMR-A;ANS-CP;TMR-SP;ALL-ALR;Ro-ANS;age_years;sex_M
LPP-S-LPPR,angle,palatal_pterygoid,1,23,False,,ANS-CP;MasR-SP;S-PNS;ZFR-ZMsR-ZMiR;N-ES;age_years;sex_M
LPP-S-MPP,angle,palatal_pterygoid,1,23,False,LPPR-S-MPPR,LW-ES-LWR;ZFR-OrR-SMFR;MOR-TMR-PNS;ZOR-LOrR;ZTi-ZF-ZMs;age_years;sex_M
LPP-SP,distance,palatal_pterygoid,1,23,False,LPPR-SP,SO-CP;ANS-PNS;MasR-TPR;ZMi-CP;TMR-A;age_years;sex_M
LPPR-CP,distance,palatal_pterygoid,1,23,False,,ANS-CP;ZMiR-CP;MasR-TPR;MOR-SP;S-BA;age_years;sex_M
LPPR-PPR-MPPR,angle,palatal_pterygoid,1,23,False,LPP-PP-MPP,TMR-SP;TM-TMR;TM-SP;Ro-ANS;ALL-ALR;age_years;sex_M
LPPR-S-MPPR,angle,palatal_pterygoid,1,23,False,LPP-S-MPP,ZFR-OrR-SMFR;ZF-ZO-ZX;ES-S-SO;S-N-ANS;N-S-SO;age_years;sex_M
LPPR-SP,distance,palatal_pterygoid,1,23,False,LPP-SP,ANS-PNS;ZOR-SP;PPR-SP;ZTsR-SP;S-BA;age_years;sex_M
MO-TM-PNS,angle,nasomaxillary,8,16,False,MOR-TMR-PNS,N-S-BA;MO-SP;N-ES;ZFR-ZMsR-ZMiR;N-S-SO;age_years;sex_M
MOR-TMR-PNS,angle,nasomaxillary,8,16,False,MO-TM-PNS,S-SO-BA;S-SO;N-S-SO;SO-CP;S-LPP;age_years;sex_M
MPP-CP,distance,palatal_pterygoid,1,23,False,MPPR-CP,ZMi-CP;MasR-TPR;S-BA;ZX-ZF;TMR-A;age_years;sex_M
MPP-MPPR,distance,palatal_pterygoid,1,23,False,,Ro-ANS;TMR-A;ANS-CP;N-ANS;ZTs-SP;age_years;sex_M
MPP-S-MPPR,angle,palatal_pterygoid,1,23,False,,ZTs-Po;ZF-LOrL-SMF;N-ES;N-ANS;TMR-A;age_years;sex_M
MPP-SP,distance,palatal_pterygoid,1,23,False,MPPR-SP,ANS-CP;TMR-A;N-ANS;ZMi-CP;Ro-ANS;age_years;sex_M
MPPR-CP,distance,palatal_pterygoid,1,23,False,MPP-CP,ANS-CP;ZMi-CP;ZTs-SP;MasR-TPR;N-ANS;age_years;sex_M
MPPR-SP,distance,palatal_pterygoid,1,23,False,MPP-SP,Ro-ANS;TMR-A;ANS-CP;TMR-SP;TM-TMR;age_years;sex_M
N-ANS,distance,nasomaxillary,11,13,False,,S-MPP;ZTs-SP;MPP-SP;MPPR-CP;MPP-MPPR;age_years;sex_M
